name,japanese_name,percentage_male,type1,type2,height_m,weight_kg,capture_rate,base_egg_steps,base_happiness,abilities,experience_growth,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,classification
Kabuto,Kabutoカブト,88.1,rock,water,0.5,11.5,45,7680,70,"[""Swift Swim"", ""Battle Armor"", ""Weak Armor""]",1000000,30,80,90,55,45,55,1,0,Shellfish Pokémon
Kabutops,Kabutopsカブトプス,88.1,rock,water,1.3,40.5,45,7680,70,"[""Swift Swim"", ""Battle Armor"", ""Weak Armor""]",1000000,60,115,105,65,70,80,1,0,Shellfish Pokémon
Aerodactyl,Pteraプテラ,88.1,rock,flying,1.8,59.0,45,8960,70,"[""Rock Head"", ""Pressure"", ""Unnerve""]",1250000,80,135,85,70,95,150,1,0,Fossil Pokémon
Snorlax,Kabigonカビゴン,88.1,normal,,2.1,460.0,25,10240,70,"[""Immunity"", ""Thick Fat"", ""Gluttony""]",1250000,160,110,65,65,110,30,1,0,Sleeping Pokémon
Articuno,Freezerフリーザー,,ice,flying,1.7,55.4,3,20480,35,"[""Pressure"", ""Snow Cloak""]",1250000,90,85,100,95,125,85,1,1,Freeze Pokémon
Zapdos,Thunderサンダー,,electric,flying,1.6,52.6,3,20480,35,"[""Pressure"", ""Static""]",1250000,90,90,85,125,90,100,1,1,Electric Pokémon
Moltres,Fireファイヤー,,fire,flying,2.0,60.0,3,20480,35,"[""Pressure"", ""Flame Body""]",1250000,90,100,90,125,85,90,1,1,Flame Pokémon
Dratini,Miniryuミニリュウ,50.0,dragon,,1.8,3.3,45,10240,35,"[""Shed Skin"", ""Marvel Scale""]",1250000,41,64,45,50,50,50,1,0,Dragon Pokémon
Dragonair,Hakuryuハクリュー,50.0,dragon,,4.0,16.5,45,10240,35,"[""Shed Skin"", ""Marvel Scale""]",1250000,61,84,65,70,70,70,1,0,Dragon Pokémon
Dragonite,Kairyuカイリュー,50.0,dragon,flying,2.2,210.0,45,10240,35,"[""Inner Focus"", ""Multiscale""]",1250000,91,134,95,100,100,80,1,0,Dragon Pokémon
Mewtwo,Mewtwoミュウツー,,psychic,,2.0,122.0,3,30720,0,"[""Pressure"", ""Unnerve""]",1250000,106,150,70,194,120,140,1,1,Genetic Pokémon
Mew,Mewミュウ,,psychic,,0.4,4.0,45,30720,100,"[""Synchronize""]",1059860,100,100,100,100,100,100,1,1,New Species Pokémon
Chikorita,Chicoritaチコリータ,88.1,grass,,0.9,6.4,45,5120,70,"[""Overgrow"", ""Leaf Guard""]",1059860,45,49,65,49,65,45,2,0,Leaf Pokémon
Bayleef,Bayleafベイリーフ,88.1,grass,,1.2,15.8,45,5120,70,"[""Overgrow"", ""Leaf Guard""]",1059860,60,62,80,63,80,60,2,0,Leaf Pokémon
Meganium,Meganiumメガニウム,88.1,grass,,1.8,100.5,45,5120,70,"[""Overgrow"", ""Leaf Guard""]",1059860,80,82,100,83,100,80,2,0,Herb Pokémon
Cyndaquil,Hinoarashiヒノアラシ,88.1,fire,,0.5,7.9,45,5120,70,"[""Blaze"", ""Flash Fire""]",1059860,39,52,43,60,50,65,2,0,Fire Mouse Pokémon
Quilava,Magmarashiマグマラシ,88.1,fire,,0.9,19.0,45,5120,70,"[""Blaze"", ""Flash Fire""]",1059860,58,64,58,80,65,80,2,0,Volcano Pokémon
Typhlosion,Bakphoonバクフーン,88.1,fire,,1.7,79.5,45,5120,70,"[""Blaze"", ""Flash Fire""]",1059860,78,84,78,109,85,100,2,0,Volcano Pokémon
Totodile,Waninokoワニノコ,88.1,water,,0.6,9.5,45,5120,70,"[""Torrent"", ""Sheer Force""]",1059860,50,65,64,44,48,43,2,0,Big Jaw Pokémon
Croconaw,Alligatesアリゲイツ,88.1,water,,1.1,25.0,45,5120,70,"[""Torrent"", ""Sheer Force""]",1059860,65,80,80,59,63,58,2,0,Big Jaw Pokémon
Feraligatr,Ordileオーダイル,88.1,water,,2.3,88.8,45,5120,70,"[""Torrent"", ""Sheer Force""]",1059860,85,105,100,79,83,78,2,0,Big Jaw Pokémon
Sentret,Otachiオタチ,50.0,normal,,0.8,6.0,255,3840,70,"[""Run Away"", ""Keen Eye"", ""Frisk""]",1000000,35,46,34,35,45,20,2,0,Scout Pokémon
Furret,Ootachiオオタチ,50.0,normal,,1.8,32.5,90,3840,70,"[""Run Away"", ""Keen Eye"", ""Frisk""]",1000000,85,76,64,45,55,90,2,0,Long Body Pokémon
Hoothoot,Hohoホーホー,50.0,normal,flying,0.7,21.2,255,3840,70,"[""Insomnia"", ""Keen Eye"", ""Tinted Lens""]",1000000,60,30,30,36,56,50,2,0,Owl Pokémon
Noctowl,Yorunozukuヨルノズク,50.0,normal,flying,1.6,40.8,90,3840,70,"[""Insomnia"", ""Keen Eye"", ""Tinted Lens""]",1000000,100,50,50,86,96,70,2,0,Owl Pokémon
Ledyba,Redibaレディバ,50.0,bug,flying,1.0,10.8,255,3840,70,"[""Swarm"", ""Early Bird"", ""Rattled""]",800000,40,20,30,40,80,55,2,0,Five Star Pokémon
Ledian,Redianレディアン,50.0,bug,flying,1.4,35.6,90,3840,70,"[""Swarm"", ""Early Bird"", ""Iron Fist""]",800000,55,35,50,55,110,85,2,0,Five Star Pokémon
Spinarak,Itomaruイトマル,50.0,bug,poison,0.5,8.5,255,3840,70,"[""Swarm"", ""Insomnia"", ""Sniper""]",800000,40,60,40,40,40,30,2,0,String Spit Pokémon
Ariados,Ariadosアリアドス,50.0,bug,poison,1.1,33.5,90,3840,70,"[""Swarm"", ""Insomnia"", ""Sniper""]",800000,70,90,70,60,70,40,2,0,Long Leg Pokémon
Crobat,Crobatクロバット,50.0,poison,flying,1.8,75.0,90,3840,70,"[""Inner Focus"", ""Infiltrator""]",1000000,85,90,80,70,80,130,2,0,Bat Pokémon
Chinchou,Chonchieチョンチー,50.0,water,electric,0.5,12.0,190,5120,70,"[""Volt Absorb"", ""Illuminate"", ""Water Absorb""]",1250000,75,38,38,56,56,67,2,0,Angler Pokémon
Lanturn,Lanternランターン,50.0,water,electric,1.2,22.5,75,5120,70,"[""Volt Absorb"", ""Illuminate"", ""Water Absorb""]",1250000,125,58,58,76,76,67,2,0,Light Pokémon
Pichu,Pichuピチュー,50.0,electric,,0.3,2.0,190,2560,70,"[""Static"", ""Lightningrod""]",1000000,20,40,15,35,35,60,2,0,Tiny Mouse Pokémon
Cleffa,Pyピィ,24.6,fairy,,0.3,3.0,150,2560,140,"[""Cute Charm"", ""Magic Guard"", ""Friend Guard""]",800000,50,25,28,45,55,15,2,0,Star Shape Pokémon
Igglybuff,Pupurinププリン,24.6,normal,fairy,0.3,1.0,170,2560,70,"[""Cute Charm"", ""Competitive"", ""Friend Guard""]",800000,90,30,15,40,20,15,2,0,Balloon Pokémon
Togepi,Togepyトゲピー,88.1,fairy,,0.3,1.5,190,2560,70,"[""Hustle"", ""Serene Grace"", ""Super Luck""]",800000,35,20,65,40,65,20,2,0,Spike Ball Pokémon
Togetic,Togechickトゲチック,88.1,fairy,flying,0.6,3.2,75,2560,70,"[""Hustle"", ""Serene Grace"", ""Super Luck""]",800000,55,40,85,80,105,40,2,0,Happiness Pokémon
Natu,Natyネイティ,50.0,psychic,flying,0.2,2.0,190,5120,70,"[""Synchronize"", ""Early Bird"", ""Magic Bounce""]",1000000,40,50,45,70,45,70,2,0,Little Bird Pokémon
Xatu,Natioネイティオ,50.0,psychic,flying,1.5,15.0,75,5120,70,"[""Synchronize"", ""Early Bird"", ""Magic Bounce""]",1000000,65,75,70,95,70,95,2,0,Mystic Pokémon
Mareep,Merriepメリープ,50.0,electric,,0.6,7.8,235,5120,70,"[""Static"", ""Plus""]",1059860,55,40,40,65,45,35,2,0,Wool Pokémon
Flaaffy,Mokokoモココ,50.0,electric,,0.8,13.3,120,5120,70,"[""Static"", ""Plus""]",1059860,70,55,55,80,60,45,2,0,Wool Pokémon
Ampharos,Denryuデンリュウ,50.0,electric,,1.4,61.5,45,5120,70,"[""Static"", ""Plus""]",1059860,90,95,105,165,110,45,2,0,Light Pokémon
Bellossom,Kireihanaキレイハナ,50.0,grass,,0.4,5.8,45,5120,70,"[""Chlorophyll"", ""Healer""]",1059860,75,80,95,90,100,50,2,0,Flower Pokémon
Marill,Marilマリル,50.0,water,fairy,0.4,8.5,190,2560,70,"[""Thick Fat"", ""Huge Power"", ""Sap Sipper""]",800000,70,20,50,20,50,40,2,0,Aquamouse Pokémon
Azumarill,Marilliマリルリ,50.0,water,fairy,0.8,28.5,75,2560,70,"[""Thick Fat"", ""Huge Power"", ""Sap Sipper""]",800000,100,50,80,60,80,50,2,0,Aquarabbit Pokémon
Sudowoodo,Usokkieウソッキー,50.0,rock,,1.2,38.0,65,5120,70,"[""Sturdy"", ""Rock Head"", ""Rattled""]",1000000,70,100,115,30,65,30,2,0,Imitation Pokémon
Politoed,Nyorotonoニョロトノ,50.0,water,,1.1,33.9,45,5120,70,"[""Water Absorb"", ""Damp"", ""Drizzle""]",1059860,90,75,75,90,100,70,2,0,Frog Pokémon
Hoppip,Haneccoハネッコ,50.0,grass,flying,0.4,0.5,255,5120,70,"[""Chlorophyll"", ""Leaf Guard"", ""Infiltrator""]",1059860,35,35,40,35,55,50,2,0,Cottonweed Pokémon
Skiploom,Popoccoポポッコ,50.0,grass,flying,0.6,1.0,120,5120,70,"[""Chlorophyll"", ""Leaf Guard"", ""Infiltrator""]",1059860,55,45,50,45,65,80,2,0,Cottonweed Pokémon
Jumpluff,Wataccoワタッコ,50.0,grass,flying,0.8,3.0,45,5120,70,"[""Chlorophyll"", ""Leaf Guard"", ""Infiltrator""]",1059860,75,55,70,55,95,110,2,0,Cottonweed Pokémon
Aipom,Eipamエイパム,50.0,normal,,0.8,11.5,45,5120,70,"[""Run Away"", ""Pickup"", ""Skill Link""]",800000,55,70,55,40,55,85,2,0,Long Tail Pokémon
Sunkern,Himanutsヒマナッツ,50.0,grass,,0.3,1.8,235,5120,70,"[""Chlorophyll"", ""Solar Power"", ""Early Bird""]",1059860,30,30,30,30,30,30,2,0,Seed Pokémon
Sunflora,Kimawariキマワリ,50.0,grass,,0.8,8.5,120,5120,70,"[""Chlorophyll"", ""Solar Power"", ""Early Bird""]",1059860,75,75,55,105,85,30,2,0,Sun Pokémon
Yanma,Yanyanmaヤンヤンマ,50.0,bug,flying,1.2,38.0,75,5120,70,"[""Speed Boost"", ""Compoundeyes"", ""Frisk""]",1000000,65,65,45,75,45,95,2,0,Clear Wing Pokémon
Wooper,Upahウパー,50.0,water,ground,0.4,8.5,255,5120,70,"[""Damp"", ""Water Absorb"", ""Unaware""]",1000000,55,45,45,25,25,15,2,0,Water Fish Pokémon
Quagsire,Nuohヌオー,50.0,water,ground,1.4,75.0,90,5120,70,"[""Damp"", ""Water Absorb"", ""Unaware""]",1000000,95,85,85,65,65,35,2,0,Water Fish Pokémon
Espeon,Eifieエーフィ,88.1,psychic,,0.9,26.5,45,8960,70,"[""Synchronize"", ""Magic Bounce""]",1000000,65,65,60,130,95,110,2,0,Sun Pokémon
Umbreon,Blackyブラッキー,88.1,dark,,1.0,27.0,45,8960,35,"[""Synchronize"", ""Inner Focus""]",1000000,95,65,110,60,130,65,2,0,Moonlight Pokémon
Murkrow,Yamikarasuヤミカラス,50.0,dark,flying,0.5,2.1,30,5120,35,"[""Insomnia"", ""Super Luck"", ""Prankster""]",1059860,60,85,42,85,42,91,2,0,Darkness Pokémon
Slowking,Yadokingヤドキング,50.0,water,psychic,2.0,79.5,70,5120,70,"[""Oblivious"", ""Own Tempo"", ""Regenerator""]",1000000,95,75,80,100,110,30,2,0,Royal Pokémon
Misdreavus,Mumaムウマ,50.0,ghost,,0.7,1.0,45,6400,35,"[""Levitate""]",800000,60,60,60,85,85,85,2,0,Screech Pokémon
Unown,Unknownアンノーン,,psychic,,0.5,5.0,225,10240,70,"[""Levitate""]",1000000,48,72,48,72,48,48,2,0,Symbol Pokémon
Wobbuffet,Sonansソーナンス,50.0,psychic,,1.3,28.5,45,5120,70,"[""Shadow Tag"", ""Telepathy""]",1000000,190,33,58,33,58,33,2,0,Patient Pokémon
Girafarig,Kirinrikiキリンリキ,50.0,normal,psychic,1.5,41.5,60,5120,70,"[""Inner Focus"", ""Early Bird"", ""Sap Sipper""]",1000000,70,80,65,90,65,85,2,0,Long Neck Pokémon
Pineco,Kunugidamaクヌギダマ,50.0,bug,,0.6,7.2,190,5120,70,"[""Sturdy"", ""Overcoat""]",1000000,50,65,90,35,35,15,2,0,Bagworm Pokémon
Forretress,Foretosフォレトス,50.0,bug,steel,1.2,125.8,75,5120,70,"[""Sturdy"", ""Overcoat""]",1000000,75,90,140,60,60,40,2,0,Bagworm Pokémon
Dunsparce,Nokocchiノコッチ,50.0,normal,,1.5,14.0,190,5120,70,"[""Serene Grace"", ""Run Away"", ""Rattled""]",1000000,100,70,70,65,65,45,2,0,Land Snake Pokémon
Gligar,Gligerグライガー,50.0,ground,flying,1.1,64.8,60,5120,70,"[""Hyper Cutter"", ""Sand Veil"", ""Immunity""]",1059860,65,75,105,35,65,85,2,0,Flyscorpion Pokémon
Steelix,Haganeilハガネール,50.0,steel,ground,9.2,400.0,25,6400,70,"[""Rock Head"", ""Sturdy"", ""Sheer Force""]",1000000,75,125,230,55,95,30,2,0,Iron Snake Pokémon
Snubbull,Buluブルー,24.6,fairy,,0.6,7.8,190,5120,70,"[""Intimidate"", ""Run Away"", ""Rattled""]",800000,60,80,50,40,40,30,2,0,Fairy Pokémon
Granbull,Granbuluグランブル,24.6,fairy,,1.4,48.7,75,5120,70,"[""Intimidate"", ""Quick Feet"", ""Rattled""]",800000,90,120,75,60,60,45,2,0,Fairy Pokémon
Qwilfish,Harysenハリーセン,50.0,water,poison,0.5,3.9,45,5120,70,"[""Poison Point"", ""Swift Swim"", ""Intimidate""]",1000000,65,95,85,55,55,85,2,0,Balloon Pokémon
Scizor,Hassamハッサム,50.0,bug,steel,1.8,118.0,25,6400,70,"[""Swarm"", ""Technician"", ""Light Metal""]",1000000,70,150,140,65,100,75,2,0,Pincer Pokémon
Shuckle,Tsubotsuboツボツボ,50.0,bug,rock,0.6,20.5,190,5120,70,"[""Sturdy"", ""Gluttony"", ""Contrary""]",1059860,20,10,230,10,230,5,2,0,Mold Pokémon
Heracross,Heracrosヘラクロス,50.0,bug,fighting,1.5,54.0,45,6400,70,"[""Swarm"", ""Guts"", ""Moxie""]",1250000,80,185,115,40,105,75,2,0,Singlehorn Pokémon
Sneasel,Nyulaニューラ,50.0,dark,ice,0.9,28.0,60,5120,35,"[""Inner Focus"", ""Keen Eye"", ""Pickpocket""]",1059860,55,95,55,35,75,115,2,0,Sharp Claw Pokémon
Teddiursa,Himegumaヒメグマ,50.0,normal,,0.6,8.8,120,5120,70,"[""Pickup"", ""Quick Feet"", ""Honey Gather""]",1000000,60,80,50,50,50,40,2,0,Little Bear Pokémon
Ursaring,Ringumaリングマ,50.0,normal,,1.8,125.8,60,5120,70,"[""Guts"", ""Quick Feet"", ""Unnerve""]",1000000,90,130,75,75,75,55,2,0,Hibernator Pokémon
Slugma,Magmagマグマッグ,50.0,fire,,0.7,35.0,190,5120,70,"[""Magma Armor"", ""Flame Body"", ""Weak Armor""]",1000000,40,40,40,70,40,20,2,0,Lava Pokémon
Magcargo,Magcargotマグカルゴ,50.0,fire,rock,0.8,55.0,75,5120,70,"[""Magma Armor"", ""Flame Body"", ""Weak Armor""]",1000000,60,50,120,90,80,30,2,0,Lava Pokémon
Swinub,Urimooウリムー,50.0,ice,ground,0.4,6.5,225,5120,70,"[""Oblivious"", ""Snow Cloak"", ""Thick Fat""]",1250000,50,50,40,30,30,50,2,0,Pig Pokémon
Piloswine,Inomooイノムー,50.0,ice,ground,1.1,55.8,75,5120,70,"[""Oblivious"", ""Snow Cloak"", ""Thick Fat""]",1250000,100,100,80,60,60,50,2,0,Swine Pokémon
Corsola,Sunnygoサニーゴ,24.6,water,rock,0.6,5.0,60,5120,70,"[""Hustle"", ""Natural Cure"", ""Regenerator""]",800000,65,55,95,65,95,35,2,0,Coral Pokémon
Remoraid,Teppouoテッポウオ,50.0,water,,0.6,12.0,190,5120,70,"[""Hustle"", ""Sniper"", ""Moody""]",1000000,35,65,35,65,35,65,2,0,Jet Pokémon
Octillery,Okutankオクタン,50.0,water,,0.9,28.5,75,5120,70,"[""Suction Cups"", ""Sniper"", ""Moody""]",1000000,75,105,75,105,75,45,2,0,Jet Pokémon
Delibird,Delibirdデリバード,50.0,ice,flying,0.9,16.0,45,5120,70,"[""Vital Spirit"", ""Hustle"", ""Insomnia""]",800000,45,55,45,65,45,75,2,0,Delivery Pokémon
Mantine,Mantainマンタイン,50.0,water,flying,2.1,220.0,25,6400,70,"[""Swift Swim"", ""Water Absorb"", ""Water Veil""]",1250000,85,40,70,80,140,70,2,0,Kite Pokémon
Skarmory,Airmdエアームド,50.0,steel,flying,1.7,50.5,25,6400,70,"[""Keen Eye"", ""Sturdy"", ""Weak Armor""]",1250000,65,80,140,40,70,70,2,0,Armor Bird Pokémon
Houndour,Delvilデルビル,50.0,dark,fire,0.6,10.8,120,5120,35,"[""Early Bird"", ""Flash Fire"", ""Unnerve""]",1250000,45,60,30,80,50,65,2,0,Dark Pokémon
Houndoom,Hellgarヘルガー,50.0,dark,fire,1.4,35.0,45,5120,35,"[""Early Bird"", ""Flash Fire"", ""Unnerve""]",1250000,75,90,90,140,90,115,2,0,Dark Pokémon
Kingdra,Kingdraキングドラ,50.0,water,dragon,1.8,152.0,45,5120,70,"[""Swift Swim"", ""Sniper"", ""Damp""]",1000000,75,95,95,95,95,85,2,0,Dragon Pokémon
Phanpy,Gomazouゴマゾウ,50.0,ground,,0.5,33.5,120,5120,70,"[""Pickup"", ""Sand Veil""]",1000000,90,60,60,40,40,40,2,0,Long Nose Pokémon
Donphan,Donfanドンファン,50.0,ground,,1.1,120.0,60,5120,70,"[""Sturdy"", ""Sand Veil""]",1000000,90,120,120,60,60,50,2,0,Armor Pokémon
Porygon2,Porygon2ポリゴン２,,normal,,0.6,32.5,45,5120,70,"[""Trace"", ""Download"", ""Analytic""]",1000000,85,80,90,105,95,60,2,0,Virtual Pokémon
Stantler,Odoshishiオドシシ,50.0,normal,,1.4,71.2,45,5120,70,"[""Intimidate"", ""Frisk"", ""Sap Sipper""]",1250000,73,95,62,85,65,85,2,0,Big Horn Pokémon
Smeargle,Dobleドーブル,50.0,normal,,1.2,58.0,45,5120,70,"[""Own Tempo"", ""Technician"", ""Moody""]",800000,55,20,35,20,45,75,2,0,Painter Pokémon
Tyrogue,Balkieバルキー,100.0,fighting,,0.7,21.0,75,6400,70,"[""Guts"", ""Steadfast"", ""Vital Spirit""]",1000000,35,35,35,35,35,35,2,0,Scuffle Pokémon
Hitmontop,Kapoererカポエラー,100.0,fighting,,1.4,48.0,45,6400,70,"[""Intimidate"", ""Technician"", ""Steadfast""]",1000000,50,95,95,35,110,70,2,0,Handstand Pokémon
Smoochum,Muchulムチュール,0.0,ice,psychic,0.4,6.0,45,6400,70,"[""Oblivious"", ""Forewarn"", ""Hydration""]",1000000,45,30,15,85,65,65,2,0,Kiss Pokémon
Elekid,Elekidエレキッド,75.4,electric,,0.6,23.5,45,6400,70,"[""Static"", ""Vital Spirit""]",1000000,45,63,37,65,55,95,2,0,Electric Pokémon
Magby,Bubyブビィ,75.4,fire,,0.7,21.4,45,6400,70,"[""Flame Body"", ""Vital Spirit""]",1000000,45,75,37,70,55,83,2,0,Live Coal Pokémon
Miltank,Miltankミルタンク,0.0,normal,,1.2,75.5,45,5120,70,"[""Thick Fat"", ""Scrappy"", ""Sap Sipper""]",1250000,95,80,105,40,70,100,2,0,Milk Cow Pokémon
Blissey,Happinasハピナス,0.0,normal,,1.5,46.8,30,10240,140,"[""Natural Cure"", ""Serene Grace"", ""Healer""]",800000,255,10,10,75,135,55,2,0,Happiness Pokémon
Raikou,Raikouライコウ,,electric,,1.9,178.0,3,20480,35,"[""Pressure"", ""Inner Focus""]",1250000,90,85,75,115,100,115,2,1,Thunder Pokémon
Entei,Enteiエンテイ,,fire,,2.1,198.0,3,20480,35,"[""Pressure"", ""Inner Focus""]",1250000,115,115,85,90,75,100,2,1,Volcano Pokémon
Suicune,Suicuneスイクン,,water,,2.0,187.0,3,20480,35,"[""Pressure"", ""Inner Focus""]",1250000,100,75,115,90,115,85,2,1,Aurora Pokémon
Larvitar,Yogirasヨーギラス,50.0,rock,ground,0.6,72.0,45,10240,35,"[""Guts"", ""Sand Veil""]",1250000,50,64,50,45,50,41,2,0,Rock Skin Pokémon
Pupitar,Sanagirasサナギラス,50.0,rock,ground,1.2,152.0,45,10240,35,"[""Shed Skin""]",1250000,70,84,70,65,70,51,2,0,Hard Shell Pokémon
Tyranitar,Bangirasバンギラス,50.0,rock,dark,2.0,202.0,45,10240,35,"[""Sand Stream"", ""Unnerve""]",1250000,100,164,150,95,120,71,2,0,Armor Pokémon
Lugia,Lugiaルギア,,psychic,flying,5.2,216.0,3,30720,0,"[""Pressure"", ""Multiscale""]",1250000,106,90,130,90,154,110,2,1,Diving Pokémon
Ho-Oh,Hououホウオウ,,fire,flying,3.8,199.0,3,30720,0,"[""Pressure"", ""Regenerator""]",1250000,106,130,90,110,154,90,2,1,Rainbow Pokémon
Celebi,Celebiセレビィ,,psychic,grass,0.6,5.0,45,30720,100,"[""Natural Cure""]",1059860,100,100,100,100,100,100,2,1,Time Travel Pokémon
Treecko,Kimoriキモリ,88.1,grass,,0.5,5.0,45,5120,70,"[""Overgrow"", ""Unburden""]",1059860,40,45,35,65,55,70,3,0,Wood Gecko Pokémon
Grovyle,Juptileジュプトル,88.1,grass,,0.9,21.6,45,5120,70,"[""Overgrow"", ""Unburden""]",1059860,50,65,45,85,65,95,3,0,Wood Gecko Pokémon
Sceptile,Jukainジュカイン,88.1,grass,,1.7,52.2,45,5120,70,"[""Overgrow"", ""Unburden""]",1059860,70,110,75,145,85,145,3,0,Forest Pokémon
Torchic,Achamoアチャモ,88.1,fire,,0.4,2.5,45,5120,70,"[""Blaze"", ""Speed Boost""]",1059860,45,60,40,70,50,45,3,0,Chick Pokémon
Combusken,Wakasyamoワカシャモ,88.1,fire,fighting,0.9,19.5,45,5120,70,"[""Blaze"", ""Speed Boost""]",1059860,60,85,60,85,60,55,3,0,Young Fowl Pokémon
Blaziken,Bursyamoバシャーモ,88.1,fire,fighting,1.9,52.0,45,5120,70,"[""Blaze"", ""Speed Boost""]",1059860,80,160,80,130,80,100,3,0,Blaze Pokémon
Mudkip,Mizugorouミズゴロウ,88.1,water,,0.4,7.6,45,5120,70,"[""Torrent"", ""Damp""]",1059860,50,70,50,50,50,40,3,0,Mud Fish Pokémon
Marshtomp,Numacrawヌマクロー,88.1,water,ground,0.7,28.0,45,5120,70,"[""Torrent"", ""Damp""]",1059860,70,85,70,60,70,50,3,0,Mud Fish Pokémon
Swampert,Laglargeラグラージ,88.1,water,ground,1.5,81.9,45,5120,70,"[""Torrent"", ""Damp""]",1059860,100,150,110,95,110,70,3,0,Mud Fish Pokémon
Poochyena,Pochienaポチエナ,50.0,dark,,0.5,13.6,255,3840,70,"[""Run Away"", ""Quick Feet"", ""Rattled""]",1000000,35,55,35,30,30,35,3,0,Bite Pokémon
Mightyena,Graenaグラエナ,50.0,dark,,1.0,37.0,127,3840,70,"[""Intimidate"", ""Quick Feet"", ""Moxie""]",1000000,70,90,70,60,60,70,3,0,Bite Pokémon
Zigzagoon,Jiguzagumaジグザグマ,50.0,normal,,0.4,17.5,255,3840,70,"[""Pickup"", ""Gluttony"", ""Quick Feet""]",1000000,38,30,41,30,41,60,3,0,Tiny Racoon Pokémon
Linoone,Massugumaマッスグマ,50.0,normal,,0.5,32.5,90,3840,70,"[""Pickup"", ""Gluttony"", ""Quick Feet""]",1000000,78,70,61,50,61,100,3,0,Rush Pokémon
Wurmple,Kemussoケムッソ,50.0,bug,,0.3,3.6,255,3840,70,"[""Shield Dust"", ""Run Away""]",1000000,45,45,35,20,30,20,3,0,Worm Pokémon
Silcoon,Karasalisカラサリス,50.0,bug,,0.6,10.0,120,3840,70,"[""Shed Skin""]",1000000,50,35,55,25,25,15,3,0,Cocoon Pokémon
Beautifly,Agehuntアゲハント,50.0,bug,flying,1.0,28.4,45,3840,70,"[""Swarm"", ""Rivalry""]",1000000,60,70,50,100,50,65,3,0,Butterfly Pokémon
Cascoon,Mayuldマユルド,50.0,bug,,0.7,11.5,120,3840,70,"[""Shed Skin""]",1000000,50,35,55,25,25,15,3,0,Cocoon Pokémon
Dustox,Dokucaleドクケイル,50.0,bug,poison,1.2,31.6,45,3840,70,"[""Shield Dust"", ""Compoundeyes""]",1000000,60,50,70,50,90,65,3,0,Poison Moth Pokémon
Lotad,Hassbohハスボー,50.0,water,grass,0.5,2.6,255,3840,70,"[""Swift Swim"", ""Rain Dish"", ""Own Tempo""]",1059860,40,30,30,40,50,30,3,0,Water Weed Pokémon
Lombre,Hasubreroハスブレロ,50.0,water,grass,1.2,32.5,120,3840,70,"[""Swift Swim"", ""Rain Dish"", ""Own Tempo""]",1059860,60,50,50,60,70,50,3,0,Jolly Pokémon
Ludicolo,Runpappaルンパッパ,50.0,water,grass,1.5,55.0,45,3840,70,"[""Swift Swim"", ""Rain Dish"", ""Own Tempo""]",1059860,80,70,70,90,100,70,3,0,Carefree Pokémon
Seedot,Tanebohタネボー,50.0,grass,,0.5,4.0,255,3840,70,"[""Chlorophyll"", ""Early Bird"", ""Pickpocket""]",1059860,40,40,50,30,30,30,3,0,Acorn Pokémon
Nuzleaf,Konohanaコノハナ,50.0,grass,dark,1.0,28.0,120,3840,70,"[""Chlorophyll"", ""Early Bird"", ""Pickpocket""]",1059860,70,70,40,60,40,60,3,0,Wily Pokémon
Shiftry,Dirtengダーテング,50.0,grass,dark,1.3,59.6,45,3840,70,"[""Chlorophyll"", ""Early Bird"", ""Pickpocket""]",1059860,90,100,60,90,60,80,3,0,Wickid Pokémon
Taillow,Subameスバメ,50.0,normal,flying,0.3,2.3,200,3840,70,"[""Guts"", ""Scrappy""]",1059860,40,55,30,30,30,85,3,0,TinySwallow Pokémon
Swellow,Ohsubameオオスバメ,50.0,normal,flying,0.7,19.8,45,3840,70,"[""Guts"", ""Scrappy""]",1059860,60,85,60,75,50,125,3,0,Swallow Pokémon
Wingull,Camomeキャモメ,50.0,water,flying,0.6,9.5,190,5120,70,"[""Keen Eye"", ""Hydration"", ""Rain Dish""]",1000000,40,30,30,55,30,85,3,0,Seagull Pokémon
Pelipper,Pelipperペリッパー,50.0,water,flying,1.2,28.0,45,5120,70,"[""Keen Eye"", ""Drizzle"", ""Rain Dish""]",1000000,60,50,100,95,70,65,3,0,Water Bird Pokémon
Ralts,Raltsラルトス,50.0,psychic,fairy,0.4,6.6,235,5120,35,"[""Synchronize"", ""Trace"", ""Telepathy""]",1250000,28,25,25,45,35,40,3,0,Feeling Pokémon
Kirlia,Kirliaキルリア,50.0,psychic,fairy,0.8,20.2,120,5120,35,"[""Synchronize"", ""Trace"", ""Telepathy""]",1250000,38,35,35,65,55,50,3,0,Emotion Pokémon
Gardevoir,Sirnightサーナイト,50.0,psychic,fairy,1.6,48.4,45,5120,35,"[""Synchronize"", ""Trace"", ""Telepathy""]",1250000,68,85,65,165,135,100,3,0,Embrace Pokémon
Surskit,Ametamaアメタマ,50.0,bug,water,0.5,1.7,200,3840,70,"[""Swift Swim"", ""Rain Dish""]",1000000,40,30,32,50,52,65,3,0,Pond Skater Pokémon
Masquerain,Amemothアメモース,50.0,bug,flying,0.8,3.6,75,3840,70,"[""Intimidate"", ""Unnerve""]",1000000,70,60,62,100,82,80,3,0,Eyeball Pokémon
