MAL_ID,Name,Avg Score,Genre Count,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10
4282,Kara no Kyoukai 5: Mujun Rasen,8,6,the Garden of sinners Chapter 5:Paradox Paradigm,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,Movie,1,"Aug 16, 2008",Unknown,Notes,Aniplex of America,ufotable,Light novel,1 hr. 54 min.,R - 17+ (violence & profanity),85,788,188403,3800,3374,134993,1654,663,47719,433,133,247,522,1419,3500,11273,27245,34410,26232
4286,Bonobono (TV),6,1,Bonobono,ぼのぼの,TV,48,"Apr 20, 1995 to Mar 28, 1996",Spring 1995,Group TAC,Unknown,Unknown,4-koma manga,15 min. per ep.,G - All Ages,4848,10138,1146,10,101,354,93,169,429,7,7,11,9,37,56,80,40,41,48
4298,Futari no Joe,6,2,Joe vs Joe,ふたりのジョー,OVA,6,"May 25, 2003 to Sep 25, 2003",Unknown,Unknown,Unknown,Unknown,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,8158,10601,941,3,46,308,31,57,499,8,10,13,22,30,56,47,25,11,14
4304,Kodomo no Jikan,6,1,A Forbidden Time,こどもの時間,OVA,7,"Dec 16, 2000 to Dec 18, 2002",Unknown,Five Ways,Unknown,Unknown,Unknown,30 min. per ep.,Rx - Hentai,0,5091,9111,78,622,4481,358,526,3124,131,122,145,263,438,564,615,368,216,275
4306,Mizugumo Monmon,6,3,Water Spider Monmon,水グモもんもん,Movie,1,"Jan 3, 2006",Unknown,Unknown,Unknown,Studio Ghibli,Original,15 min.,G - All Ages,5459,7980,2795,5,71,985,57,56,1626,12,10,18,21,84,141,201,99,48,42
4310,Joshidai: Ecchi Soudanshitsu,4,1,University Girls:Special Counseling,女子大エッチ相談室,OVA,1,"Dec 15, 2001",Unknown,Obtain Future,Unknown,Unknown,Unknown,21 min.,Rx - Hentai,0,9721,1402,6,104,670,50,95,483,171,86,50,52,41,27,21,3,8,24
4312,Hokuto no Ken: Toki-den,7,2,Fist of the North Star:The Legend of Toki,真救世主伝説 北斗の拳 トキ伝,OVA,1,"Mar 26, 2008",Unknown,"TMS Entertainment, North Stars Pictures",Unknown,APPP,Unknown,57 min.,R - 17+ (violence & profanity),1913,5743,6778,10,173,4121,108,91,2285,27,6,22,49,162,364,888,829,348,281
4314,Nanami-chan 2nd Series,6,2,Unknown,ななみちゃん 第2シリーズ,TV,16,"Jun 17, 2005 to Dec 23, 2005",Summer 2005,Robot Communications,Unknown,Unknown,Unknown,5 min. per ep.,G - All Ages,6837,12129,497,1,19,237,13,48,180,4,2,6,13,26,41,36,29,11,11
4316,Nanami-chan 3rd Series,6,2,Unknown,ななみちゃん 第三期,TV,16,"Aug 4, 2006 to Nov 17, 2006",Summer 2006,Robot Communications,Unknown,Unknown,Unknown,5 min. per ep.,G - All Ages,7783,12294,468,0,17,207,13,47,184,6,3,5,11,25,36,33,19,4,11
4318,Ryuu Seiki,5,4,Dragon Century,竜世紀,OVA,2,"Oct 26, 1988 to Dec 25, 1988",Unknown,AIC,Unknown,Unknown,Unknown,30 min. per ep.,R - 17+ (violence & profanity),9216,9264,1694,4,57,850,29,49,709,19,23,52,79,135,135,133,48,21,25
4320,Lupin III: Green vs. Red,6,5,Unknown,ルパン三世GREENvsRED,OVA,1,"Apr 2, 2008",Unknown,"VAP, Tohokushinsha Film Corporation, Studio Jack",Discotek Media,TMS Entertainment,Unknown,1 hr. 19 min.,PG-13 - Teens 13 or older,5306,5833,6522,8,117,4312,100,84,1909,18,41,86,218,352,617,789,516,265,171
4331,Penguin no Mondai,5,2,Unknown,ペンギンの問題,TV,100,"Apr 5, 2008 to Mar 20, 2009",Spring 2008,TV Tokyo,Unknown,Shogakukan Music & Digital Entertainment,Manga,10 min. per ep.,G - All Ages,8596,11508,641,3,59,186,39,185,172,13,12,18,20,44,34,33,18,8,31
4332,Seigi wo Aisuru Mono Gekkou Kamen,6,2,Unknown,正義を愛する者、月光仮面,TV,39,"Jan 10, 1972 to Oct 2, 1972",Winter 1972,Knack Productions,Unknown,Unknown,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,5259,11423,664,3,26,234,27,82,295,3,7,1,4,30,23,49,22,16,23
4334,Heroman,6,3,Unknown,ヒーローマン,TV,26,"Apr 1, 2010 to Sep 23, 2010",Spring 2010,"TV Tokyo, Dentsu, Square Enix",Unknown,Bones,Original,24 min. per ep.,PG - Children,4279,2769,34317,72,2265,14001,2378,5411,10262,158,192,377,828,1690,2733,3836,2540,1137,639
4339,Ashita e Attack!,6,3,Attack on Tomorrow,あしたへアタック！,TV,23,"Apr 4, 1977 to Sep 5, 1977",Spring 1977,Unknown,Unknown,Nippon Animation,Original,24 min. per ep.,PG-13 - Teens 13 or older,6378,9543,1504,5,71,602,54,152,625,14,10,11,26,63,97,98,42,39,37
4340,Tower of Etruria,5,4,Tower of Etruria,タワー オブ エトルリア,OVA,2,"Jun 25, 2003 to May 25, 2004",Unknown,Milky Animation Label,Unknown,Unknown,Manga,30 min. per ep.,Rx - Hentai,0,9633,1453,5,131,620,70,97,535,17,16,25,40,82,80,68,30,12,26
4342,Harukoi Otome,6,2,Unknown,春恋＊乙女,OVA,2,"Apr 18, 2008 to Jul 18, 2008",Unknown,"D3, Studio 9 MAiami",Unknown,Unknown,Visual novel,27 min. per ep.,Rx - Hentai,0,6182,5591,12,440,2818,241,197,1895,36,23,47,116,223,415,463,301,128,161
4350,Megami Kyouju,5,5,Legend of the Wolf Woman,女狼狂濡,OVA,2,"Aug 27, 2003 to Nov 21, 2003",Unknown,CherryLips,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,8395,2405,4,132,1254,96,109,814,31,31,52,110,173,201,141,44,29,41
4353,Gakuen Heaven: Hamu Hamu Heaven,6,5,Heaven Academy Specials,学園ヘヴンはむはむヘヴン,Special,12,"Jul 7, 2006 to Dec 8, 2006",Unknown,Unknown,Media Blasters,Unknown,Visual novel,1 min. per ep.,PG-13 - Teens 13 or older,4851,5778,6677,12,113,4635,105,163,1661,55,51,58,149,408,629,726,468,334,259
4355,Tsuukin Kairaku: Chikan de Go!!,5,1,Unknown,通勤快楽 痴漢でGO!!,OVA,2,"Mar 25, 2007 to May 25, 2007",Unknown,Jam,Kitty Media,Studio Jam,Visual novel,20 min. per ep.,Rx - Hentai,0,8298,2475,10,183,1303,130,115,744,20,28,54,99,171,194,159,73,31,51
4356,Innocent Blue,5,1,Unknown,Innocent Blue,OVA,2,"Nov 25, 2005 to Aug 25, 2006",Unknown,Himajin Planning,Unknown,Unknown,Visual novel,25 min. per ep.,Rx - Hentai,0,7820,3003,10,235,1622,139,144,863,44,39,48,85,160,251,187,88,47,58
4357,El,5,3,Elle,エル,OVA,2,"Apr 25, 2001 to Jul 25, 2001",Unknown,NuTech Digital,Unknown,Unknown,Unknown,30 min. per ep.,Rx - Hentai,0,9092,1822,3,112,1009,67,109,525,31,28,51,72,148,126,95,54,19,22
4358,Aniyome wa Ijippari,7,1,Lover-in-Law,兄嫁はいじっぱり,OVA,2,"Apr 18, 2008 to Jun 20, 2008",Unknown,Discovery,Unknown,Oz,Visual novel,30 min. per ep.,Rx - Hentai,0,3970,16826,166,1016,11883,543,462,2922,84,85,157,238,703,1243,2093,1461,893,945
4360,Uchuu Kaizoku Sara,6,3,Unknown,宇宙海賊サラ,OVA,4,"Apr 26, 2008 to Feb 20, 2010",Unknown,"Pixy, Anime Antenna Iinkai",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,0,4994,9595,109,834,5696,418,321,2326,59,62,109,183,399,644,978,670,398,456
4361,Grenadier: Hohoemi no Senshi Specials,6,3,Unknown,グレネーダー 〜ほほえみの閃士〜,Special,6,"Jan 28, 2005 to Jun 29, 2005",Unknown,"Shochiku, Kadokawa Shoten",Unknown,Group TAC,Manga,1 min. per ep.,PG-13 - Teens 13 or older,5888,6167,5643,2,186,2859,169,106,2323,19,31,37,88,233,427,516,249,107,114
4362,Fireball,6,2,Fireball,ファイアボール,TV,13,"Apr 7, 2008 to Jun 30, 2008",Spring 2008,Walt Disney Studios,Unknown,Jinnis Animation Studios,Original,1 min. per ep.,G - All Ages,4993,5118,8998,23,253,6650,145,275,1675,63,80,109,237,603,963,1458,932,420,232
4363,Chikan Densha,6,1,Xpress Train,痴漢電車,OVA,2,"Feb 14, 2003 to May 9, 2003",Unknown,Y.O.U.C,Critical Mass Video,Unknown,Unknown,30 min. per ep.,Rx - Hentai,0,7295,3696,9,229,2393,143,143,788,28,32,56,105,256,360,355,163,84,100
4364,Kunoichi Bakumatsu Kitan,5,1,The Last Kunoichi,くノ一幕末奇譚,OVA,2,"Dec 25, 2003 to May 25, 2004",Unknown,Milky Animation Label,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,8518,2269,4,208,983,115,117,846,21,21,36,55,115,141,152,57,26,36
4365,"Hitou Meguri The Animation: Wakaokami, Rachiru",6,1,Unknown,秘湯めぐり The Animation 「若女将、拉致る」,OVA,1,"Mar 24, 2006",Unknown,Armor,Unknown,Unknown,Visual novel,27 min.,Rx - Hentai,0,6613,4761,18,345,2686,216,171,1343,53,41,61,148,297,387,347,191,84,124
4369,Kunoichi Gakuen Ninpouchou,5,6,Ninja,くノ一学園忍法帖,OVA,6,"1999 to May 22, 2000",Unknown,D3,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,8936,1913,2,179,565,101,134,934,41,40,41,67,63,60,39,16,12,28
4371,Uchuu Senshi Baldios (Movie),6,4,Space Warrior Baldios,宇宙戦士バルディオス,Movie,1,"Dec 29, 1981",Unknown,Kokusai Eigasha,Discotek Media,Unknown,Unknown,1 hr. 58 min.,PG-13 - Teens 13 or older,6542,10348,1054,4,44,525,22,49,414,4,6,13,36,52,87,99,76,25,18
4375,Kyoro-chan,7,3,Unknown,キョロちゃん,TV,91,"Jul 1, 1999 to Mar 29, 2001",Summer 1999,"TV Tokyo, Aniplex",Unknown,Group TAC,Other,25 min. per ep.,PG - Children,2657,8652,2140,25,88,1329,118,244,361,19,18,20,24,94,184,230,177,106,220
4378,Hininden: Gauss,5,1,Unknown,緋忍伝-呀宇種（ガウス）,OVA,1,"Dec 22, 2005",Unknown,Pink Pineapple,Unknown,Unknown,Original,30 min.,Rx - Hentai,0,8864,1976,3,159,1042,74,82,619,19,33,47,78,131,159,109,59,30,39
4379,Inmu: Ikenie no Utage,5,2,Inmu:Feast of Victims,淫夢~生贄の宴~,OVA,2,"Jan 21, 2000 to Apr 28, 2000",Unknown,NuTech Digital,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,9160,1754,4,150,848,79,99,578,29,17,40,61,113,114,98,44,18,29
4382,Suzumiya Haruhi no Yuuutsu (2009),7,7,The Melancholy of Haruhi Suzumiya Season 2,涼宮ハルヒの憂鬱,TV,14,"May 22, 2009 to Sep 11, 2009",Spring 2009,Kadokawa Shoten,"Funimation, Bandai Entertainment",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,2634,307,429192,2134,14002,314273,9794,9027,82096,1907,2164,3667,8916,15244,34233,69161,63582,33071,19779
4383,Catman Series III,6,3,Unknown,キャットマン,TV,6,"Mar 1, 2008 to Apr, 2008",Spring 2008,Fuji TV,Unknown,Unknown,Unknown,4 min. per ep.,PG-13 - Teens 13 or older,6600,10053,1204,1,31,707,25,49,392,13,13,8,32,92,110,131,98,33,19
4385,Great Mazinger tai Getter Robo,6,3,Unknown,グレートマジンガー対ゲッターロボ,Movie,1,"Mar 21, 1975",Unknown,Dynamic Planning,Unknown,Unknown,Unknown,30 min.,PG-13 - Teens 13 or older,7665,9100,1793,3,45,1078,35,63,572,10,13,29,63,119,184,200,79,36,26
4386,Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu,6,3,Unknown,グレートマジンガー対ゲッターロボＧ 空中大激突,Movie,1,"Jul 26, 1975",Unknown,Dynamic Planning,Unknown,Unknown,Unknown,25 min.,PG-13 - Teens 13 or older,7928,9648,1455,0,39,806,35,60,515,10,9,31,48,92,115,155,57,28,20
4387,UFO Robo Grendizer tai Great Mazinger,6,2,Unknown,UFOロボ グレンダイザー対グレートマジンガー,Movie,1,"Mar 20, 1976",Unknown,Dynamic Planning,Unknown,Unknown,Unknown,24 min.,PG-13 - Teens 13 or older,6198,9184,1748,2,52,1106,34,69,487,8,5,21,47,120,176,201,99,58,47
4389,Amada Anime Series: Super Mario Brothers,4,3,Unknown,アマダアニメシリーズ スーパーマリオブラザーズ,OVA,3,"Aug 3, 1989",Unknown,Studio Junio,Unknown,Unknown,Game,11 min. per ep.,PG - Children,10692,8158,2613,15,81,1534,47,115,836,66,115,137,172,272,176,118,41,30,48
4390,Sora no Momotarou,5,3,Momotaro's Sky Adventure,空の桃太郎,Movie,1,"Oct 1, 1931",Unknown,Unknown,Unknown,Unknown,Original,12 min.,G - All Ages,10376,10380,1039,0,23,805,5,53,153,27,37,60,59,148,113,52,29,6,11
4391,Saru Masamune,5,2,The Monkey Sword Masamune,猿正宗,Movie,1,"Jan, 1931",Unknown,Unknown,Unknown,Unknown,Original,9 min.,G - All Ages,9799,9893,1297,0,31,1021,13,45,187,32,26,38,75,185,186,103,34,12,14
4392,Ooatari Sora no Entaku,5,1,The Plane Cabby's Lucky Day,大当り空の円タク,Movie,1,"Oct 22, 1932",Unknown,Unknown,Unknown,Unknown,Original,10 min.,G - All Ages,10383,10733,871,0,19,661,4,46,141,26,27,35,59,147,76,64,11,4,7
4393,Kokka Kimigayo,4,2,The National Anthem Kimigayo,国歌 君か代,Movie,1,"May 1, 1931",Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,10725,9583,1494,0,24,1246,10,42,172,60,61,80,129,221,126,84,22,9,14
4394,Norakuro Gochou,5,1,Corporal Norakuro,のらくろ伍長,Movie,1,"Mar 9, 1934",Unknown,Unknown,Unknown,Unknown,Manga,10 min.,G - All Ages,10581,10746,878,0,22,679,7,46,124,29,27,50,54,147,83,47,12,3,11
4395,Norakuro Nitouhei: Enshuu no Maki,5,1,Private 2nd Class Norakuro:The Drill,のらくろ二等兵 演習の巻,Movie,1,"Jun 14, 1933",Unknown,Unknown,Unknown,Unknown,Manga,5 min.,G - All Ages,10517,11244,717,1,19,545,5,49,99,23,27,34,48,111,58,41,11,4,9
4396,Osaru no Kantai,4,2,The Monkey Fleet,お猿の艦隊,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10897,10580,943,0,12,789,5,34,103,54,63,56,117,122,59,31,17,5,15
4397,Osaru no Sankichi: Totsugeki-tai,4,1,Sankichi the Monkey:The Storm Troopers,お猿の三吉 突撃隊,Movie,1,"Mar 24, 1934",Unknown,The National Film Center Japan,Unknown,Unknown,Original,2 min.,G - All Ages,10866,10539,970,0,19,783,5,45,118,40,55,79,90,140,61,39,8,7,10
4398,Kuro Nyago,5,1,The Black Cat,黒ニャゴ,Movie,1,"Jan, 1931",Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,9975,7894,2926,6,31,2107,17,62,709,67,95,85,161,363,270,190,86,44,67
4399,Honoo no Haramase Tenkousei,6,4,Unknown,炎の孕ませ転校生,OVA,3,"Oct 27, 2006 to Jul 27, 2007",Unknown,Himajin Planning,Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,0,5211,8609,39,767,4131,399,354,2958,62,47,78,144,316,490,678,457,240,297
4400,Inmu 2,5,1,Inmu 2:Flesh Dreams,淫夢2,OVA,2,"Mar 23, 2001 to Jun 22, 2001",Unknown,NuTech Digital,Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,9832,1340,1,99,661,57,80,443,24,14,34,49,79,98,70,30,14,23
4406,Mazinger Z tai Ankoku Daishougun,6,3,Unknown,マジンガーＺ対暗黒大将軍,Movie,1,"Jul 25, 1974",Unknown,Dynamic Planning,Unknown,Unknown,Unknown,43 min.,PG-13 - Teens 13 or older,5319,9043,1850,3,60,1116,28,77,569,13,12,14,41,87,146,226,122,67,55
4411,Mirai Robo Daltanias,6,4,Future Robo Daltanius,未来ロボ ダルタニアス,TV,47,"Mar 21, 1979 to Mar 5, 1980",Spring 1979,Unknown,Unknown,Toei Animation,Original,24 min. per ep.,PG-13 - Teens 13 or older,5203,10149,1147,4,72,465,55,110,445,5,9,9,15,41,89,97,58,29,25
4415,World Destruction: Sekai Bokumetsu no Rokunin,6,2,Sands of Destruction,ワールド・デストラクション ～世界撲滅の六人～,TV,13,"Jul 8, 2008 to Sep 30, 2008",Summer 2008,Sega,Funimation,Production I.G,Game,25 min. per ep.,PG-13 - Teens 13 or older,3728,2345,46845,115,2152,27762,1827,2514,12590,92,147,332,776,2125,4110,6832,4597,1976,1149
4416,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,7,4,King of Braves GaoGaiGar Final Grand Glorious Gathering,勇者王ガオガイガーFINAL Grand Glorious Gathering,TV,12,"Apr 11, 2005 to Jun 27, 2005",Spring 2005,Unknown,Media Blasters,Sunrise,Unknown,24 min. per ep.,PG-13 - Teens 13 or older,1723,7864,2938,9,109,1098,100,119,1512,7,11,4,13,46,97,147,193,104,137
4417,Hennako-chan,0,1,Unknown,へんな子ちゃん,ONA,6,"Apr 25, 2008 to Jul 3, 2008",Unknown,Unknown,Unknown,Gonzo,Unknown,3 min. per ep.,Unknown,14381,14353,233,0,9,76,10,45,93,7,3,1,4,11,8,13,2,1,2
4418,Catman Series II,6,3,Unknown,キャットマン,ONA,8,2002,Unknown,Fuji TV,Unknown,Unknown,Unknown,4 min. per ep.,PG-13 - Teens 13 or older,7063,10373,1041,2,15,697,20,36,273,10,13,17,32,99,117,122,86,33,15
4419,Catman,6,3,Catman,キャットマン,ONA,7,2002,Unknown,Fuji TV,Unknown,Unknown,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,7883,8593,2210,7,56,1012,53,80,1009,25,26,38,70,138,171,172,111,40,30
4420,Vampiyan Kids: Pilot,6,4,Unknown,なんちゃってバンパイヤン,Special,1,1999,Unknown,Unknown,Unknown,Production I.G,Original,18 min.,G - All Ages,7837,10586,940,2,21,600,4,45,270,8,7,12,31,83,103,98,57,11,9
4421,Moetan Specials,6,4,Moetan,もえたん,Special,2,"Dec 21, 2007 to Mar 25, 2008",Unknown,Unknown,Unknown,Actas,Unknown,24 min. per ep.,R+ - Mild Nudity,5894,6380,5172,2,113,3538,92,87,1342,27,48,81,145,303,529,672,360,174,148
4427,Tatakae!! Ramenman,6,4,Fight!! Ramenman,闘将!!拉麺男,TV,35,"Jan 10, 1988 to Sep 11, 1988",Winter 1988,Yomiko Advertising,Unknown,Toei Animation,Unknown,23 min. per ep.,R - 17+ (violence & profanity),6441,10385,1029,5,73,270,64,101,521,7,6,5,12,40,50,56,32,10,18
4437,Naruto: Shippuuden Movie 2 - Kizuna,7,4,Naruto:Shippuden the Movie 2 -Bonds-,劇場版NARUTO-ナルト- 疾風伝 絆,Movie,1,"Aug 2, 2008",Unknown,"TV Tokyo, Aniplex, Dentsu, Bandai, Toho, Studio Jack",VIZ Media,Studio Pierrot,Manga,1 hr. 32 min.,PG-13 - Teens 13 or older,2362,793,188680,278,1728,171637,680,500,14135,390,532,1066,2684,7572,16457,33242,24508,12618,11441
4439,Kurenai Sanshirou,6,3,Judo Boy,紅三四郎,TV,26,"Apr 2, 1969 to Sep 24, 1969",Spring 1969,Unknown,Unknown,Tatsunoko Production,Manga,25 min. per ep.,PG-13 - Teens 13 or older,6099,9788,1367,7,76,490,50,128,623,6,12,8,17,71,86,103,38,24,36
4440,Sugata Sanshirou,0,3,Judo Story,姿三四郎,Special,1,"Jun 8, 1981",Unknown,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,1 hr. 10 min.,PG-13 - Teens 13 or older,12264,12375,455,2,23,131,9,52,240,1,1,2,5,14,14,21,5,4,6
4443,Duel Masters Charge,6,4,Unknown,デュエル・マスターズ　チャージ,TV,52,"Apr 19, 2004 to Mar 27, 2006",Spring 2004,Shogakukan-Shueisha Productions,Unknown,Studio Hibari,Original,21 min. per ep.,PG-13 - Teens 13 or older,7381,6769,4463,3,105,3166,106,285,801,36,41,97,166,397,534,497,253,114,104
4444,Zero Duel Masters,6,4,Unknown,ゼロ デュエル・マスターズ,TV,12,"Apr 9, 2007 to Sep 28, 2007",Spring 2007,Shogakukan-Shueisha Productions,Unknown,Unknown,Original,23 min. per ep.,PG-13 - Teens 13 or older,8163,8671,2114,1,59,1213,40,163,639,23,28,44,71,134,196,147,73,25,58
4447,Detective Conan Movie 12: Full Score of Fear,7,5,Unknown,名探偵コナン 戦慄の楽譜（フルスコア）,Movie,1,"Apr 19, 2008",Unknown,"Shogakukan-Shueisha Productions, Tokyo Movie Shinsha, Big Bang",Unknown,TMS Entertainment,Manga,1 hr. 56 min.,PG-13 - Teens 13 or older,789,2689,35991,23,334,32036,196,201,3224,39,32,70,215,729,1859,5133,6398,3581,2916
4450,Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,6,5,Chrono Crusade:Azmaria's Lessons,クロノクルセイド　アズでもわかるクロノクルセイド講座,Special,11,"May 28, 2004 to Mar 25, 2005",Unknown,Unknown,"ADV Films, Funimation",Gonzo,Manga,3 min. per ep.,PG-13 - Teens 13 or older,5633,4906,9988,14,193,5203,223,216,4153,35,34,69,167,498,751,919,457,253,219
4451,Tanin no Kankei,6,4,Unknown,他人の関係,OVA,2,"Aug 26, 1994 to Oct 21, 1994",Unknown,Unknown,Unknown,J.C.Staff,Manga,45 min. per ep.,R+ - Mild Nudity,7703,9117,1792,4,78,784,47,59,824,18,16,20,42,82,148,174,57,27,20
4452,Hoshikuzu Paradise,5,2,Unknown,星屑パラダイス,OVA,1,"Jul 25, 1991",Unknown,OB Planning,Unknown,Unknown,Unknown,40 min.,PG-13 - Teens 13 or older,9618,11555,634,0,26,298,12,28,270,6,6,22,30,59,46,33,13,1,7
4454,Macross F: Close Encounter - Deculture Edition,7,6,Unknown,マクロスＦ　第1話「クロース・エンカウンター」Deculture edition,Special,1,"Dec 23, 2007",Unknown,Unknown,Unknown,Satelight,Original,27 min.,PG-13 - Teens 13 or older,980,4658,11472,7,184,7971,124,127,3066,25,10,24,50,223,500,1223,1708,991,566
4458,Bavel no Hon,5,1,Bavel's Book,バベルの本,Special,1,"Oct 14, 1996",Unknown,"NHK, Yamamura Animation, Inc.",Unknown,Unknown,Unknown,5 min.,G - All Ages,9371,8160,2610,1,16,2075,15,35,469,36,57,87,168,353,389,300,94,23,33
4459,Ojarumaru,6,4,Prince Mackaroo,おじゃる丸,TV,Unknown,"Oct 5, 1998 to ?",Fall 1998,NHK,Enoki Films,Gallop,Original,10 min.,G - All Ages,6531,9942,1274,5,366,0,145,364,399,21,10,8,21,65,73,67,35,30,35
4460,Kikumana,5,2,Unknown,キクマナ,ONA,1,"Jul 14, 2001",Unknown,Unknown,Unknown,Studio Rikka,Original,6 min.,PG-13 - Teens 13 or older,8919,5569,7310,7,93,5172,43,65,1937,103,101,204,361,787,878,769,309,160,90
4461,Kouchou-sensei to Kujira,6,1,Unknown,校長先生とクジラ,Movie,1,2007,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Unknown,2 min.,G - All Ages,7781,8973,1902,1,28,1351,13,27,483,22,32,23,71,186,230,233,137,41,29
4462,Tairiki Tarou no Mucha Shuugyou,4,1,Mighty Taro's Reckless Training,大力太郎の無茶修業,Movie,1,1928,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10781,9913,1280,1,15,1124,4,39,98,42,68,106,120,200,126,58,21,7,12
4463,Custom Reido,5,1,Custom Slave,カスタム隷奴,OVA,1,"May 25, 2001",Unknown,NuTech Digital,Unknown,Unknown,Visual novel,30 min.,Rx - Hentai,0,9251,1704,3,107,1003,55,87,452,39,39,48,104,122,108,87,35,10,19
4467,Universe,6,2,Unknown,ユニバース,Music,1,2007,Unknown,Victor Entertainment,Unknown,Production I.G,Unknown,4 min.,G - All Ages,5919,8929,1931,1,21,1518,10,24,358,15,11,28,55,159,264,297,162,84,46
4468,Nagagutsu wo Haita Neko no Bouken,6,2,Unknown,長靴をはいた猫の冒険,TV,26,"Apr 1, 1992 to Sep 23, 1992",Spring 1992,Enoki Films,Unknown,Unknown,Unknown,25 min. per ep.,G - All Ages,5323,11388,674,3,32,356,20,64,202,6,3,5,10,27,45,69,35,21,19
4469,.hack//G.U. Trilogy: Parody Mode,6,5,.hack//G.U. Trilogy:Parody Mode,.hack//G.U. Trilogy,Special,1,"Mar 25, 2008",Unknown,Bandai Visual,Unknown,Unknown,Game,6 min.,PG-13 - Teens 13 or older,6212,4938,9788,12,148,6117,162,171,3190,59,84,130,243,574,794,821,545,293,291
4470,Gene Diver,0,5,Unknown,ジーンダイバー,TV,56,"Apr 4, 1994 to Jan 24, 1995",Spring 1994,"NHK, Studio Junio",Unknown,Unknown,Original,15 min. per ep.,PG - Children,14105,11972,533,1,32,109,22,60,310,4,6,1,8,14,12,15,11,2,7
4471,Shin SOS Dai Tokyo Tankentai,6,1,Unknown,新SOS大東京探検隊,Movie,1,"May 19, 2007",Unknown,Bandai Visual,Bandai Visual USA,Sunrise,Unknown,40 min.,PG-13 - Teens 13 or older,7916,9696,1417,3,45,710,27,41,594,4,8,20,46,103,152,106,58,11,16
4472,Lucky☆Star: Original na Visual to Animation,7,4,Unknown,らき☆すた OVA（オリジナルなビジュアルとアニメーション）,OVA,1,"Sep 26, 2008",Unknown,"Kadokawa Shoten, Movic, KlockWorx","Funimation, Bandai Entertainment",Kyoto Animation,4-koma manga,42 min.,PG-13 - Teens 13 or older,795,1248,115764,243,1243,94979,744,529,18269,185,178,291,776,2619,6237,15948,19977,13706,9139
4473,Shoujo Sect,6,4,Shoujo Sect,少女セクト,OVA,3,"Jul 25, 2008 to Nov 25, 2008",Unknown,Milky Animation Label,Unknown,Unknown,Manga,25 min. per ep.,Rx - Hentai,0,3172,26742,187,1324,16310,700,791,7617,160,200,304,620,1390,2246,3060,2107,1004,941
4475,Toshi wo Totta Wani,6,1,Unknown,年をとった鰐,Movie,1,"Mar 25, 2005",Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Picture book,13 min.,G - All Ages,6824,8173,2605,2,48,1629,22,34,872,21,25,25,70,195,310,322,188,57,32
4476,Gensoumaden Saiyuuki: Kibou no Zaika,6,2,Saiyuki Interactive,幻想魔伝最遊記-希望の罪過-,OVA,1,"Sep 19, 2002",Unknown,Unknown,Unknown,Unknown,Manga,46 min.,PG-13 - Teens 13 or older,3700,7141,3930,10,132,1991,90,81,1636,6,7,26,35,113,227,383,223,140,112
4477,Nodame Cantabile: Paris-hen,8,5,Unknown,のだめカンタービレ 巴里編,TV,11,"Oct 10, 2008 to Dec 19, 2008",Fall 2008,"Fuji TV, Asmik Ace, Sony Music Entertainment",Unknown,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,340,1321,107428,306,2555,84899,2022,1140,16812,248,46,136,300,1010,3279,11883,23557,17300,8905
4479,Shitsurakuen,5,1,Sinners Paradise,失楽園,OVA,2,"Feb 8, 2008 to May 9, 2008",Unknown,"Digital Works, Y.O.U.C",Unknown,Unknown,Original,30 min. per ep.,Rx - Hentai,0,9714,1407,2,103,698,66,74,466,20,30,30,65,97,79,67,32,14,25
